policy_id,sale_date_key,sale_date,customer_id,salesperson_id,region_id,raw_region_id,branch_id,product_id,channel_id,monthly_premium,annualized_revenue,discount_rate,commission_amount,sale_type,source_system,ingested_at
POL00000027,20240127,2024-01-27,C014469,SP0021,GP01,GP01,BR001,P001,CH01,1052.18,12626.16,0.0,1515.14,New Business,PolicyAdmin,2024-01-27 10:29:00
POL00000028,20240109,2024-01-09,C014938,SP0037,GP01,GP01,BR001,P001,CH01,1167.67,14012.04,0.0,1681.44,New Business,CRM,2024-01-09 15:09:00
POL00000029,20240121,2024-01-21,C000420,SP0002,GP01,GP01,BR001,P001,CH01,873.7,10484.4,0.05,1258.13,New Business,DigitalPortal,2024-01-21 09:10:00
POL00000030,20240110,2024-01-10,C008404,SP0021,GP01,GP01,BR001,P001,CH04,1133.86,13606.32,0.1,1632.76,New Business,CRM,2024-01-10 10:52:00
POL00000031,20240127,2024-01-27,C005824,SP0021,GP01,GP01,BR001,P001,CH01,832.35,9988.2,0.0,1198.58,New Business,CRM,2024-01-27 12:20:00
POL00000032,20240109,2024-01-09,C019487,SP0021,GP01,GP01,BR001,P002,CH04,559.4,6712.8,0.1,671.28,New Business,PolicyAdmin,2024-01-09 09:31:00
POL00000033,20240118,2024-01-18,C006249,SP0037,GP01,GP01,BR001,P002,CH02,462.41,5548.92,0.05,554.89,New Business,PolicyAdmin,2024-01-18 12:04:00
POL00000034,20240130,2024-01-30,C013527,SP0037,GP01,GP01,BR001,P002,CH02,344.84,4138.08,0.0,413.81,New Business,CRM,2024-01-30 13:49:00
POL00000035,20240102,2024-01-02,C022206,SP0118,GP01,GP01,BR001,P002,CH02,359.36,4312.32,0.1,431.23,New Business,CRM,2024-01-02 08:37:00
POL00000036,20240109,2024-01-09,C014197,SP0021,GP01,GP01,BR001,P002,CH01,472.77,5673.24,0.0,567.32,New Business,CRM,2024-01-09 16:40:00
POL00000037,20240105,2024-01-05,C028174,SP0092,GP01,GP01,BR001,P002,CH05,426.49,5117.88,0.0,511.79,New Business,CRM,2024-01-05 10:23:00
POL00000038,20240104,2024-01-04,C028428,SP0118,GP01,GP01,BR001,P002,CH04,491.35,5896.2,0.1,589.62,New Business,PolicyAdmin,2024-01-04 17:06:00
POL00000039,20240114,2024-01-14,C019353,SP0092,GP01,GP01,BR001,P002,CH04,320.71,3848.52,0.1,384.85,New Business,DigitalPortal,2024-01-14 10:01:00
POL00000040,20240114,2024-01-14,C002047,SP0092,GP01,GP01,BR001,P002,CH01,384.8,4617.6,0.0,461.76,New Business,PolicyAdmin,2024-01-14 12:25:00
POL00000041,20240131,2024-01-31,C005424,SP0021,GP01,GP01,BR001,P002,CH04,366.89,4402.68,0.1,440.27,New Business,PolicyAdmin,2024-01-31 15:42:00
POL00000042,20240126,2024-01-26,C013216,SP0092,GP01,GP01,BR001,P002,CH05,453.59,5443.08,0.0,544.31,New Business,CRM,2024-01-26 12:48:00
POL00000043,20240113,2024-01-13,C013153,SP0021,GP01,GP01,BR001,P002,CH01,399.7,4796.4,0.0,479.64,New Business,PolicyAdmin,2024-01-13 11:20:00
POL00000044,20240106,2024-01-06,C006898,SP0002,GP01,GP01,BR001,P002,CH01,427.44,5129.28,0.0,512.93,New Business,CRM,2024-01-06 11:08:00
POL00000045,20240115,2024-01-15,C007858,SP0118,GP01,GP01,BR001,P002,CH02,449.3,5391.6,0.05,539.16,New Business,DigitalPortal,2024-01-15 11:11:00
POL00000046,20240121,2024-01-21,C008979,SP0118,GP01,GP01,BR001,P002,CH04,423.37,5080.44,0.0,508.04,New Business,PolicyAdmin,2024-01-21 09:06:00
POL00000047,20240115,2024-01-15,C011897,SP0002,GP01,GP01,BR001,P002,CH01,323.78,3885.36,0.1,388.54,New Business,CRM,2024-01-15 11:47:00
POL00000048,20240110,2024-01-10,C014733,SP0002,GP01,GP01,BR001,P002,CH02,325.34,3904.08,0.0,390.41,New Business,PolicyAdmin,2024-01-10 14:20:00
POL00000049,20240104,2024-01-04,C003958,SP0037,GP01,GP01,BR001,P002,CH02,319.05,3828.6,0.05,382.86,New Business,PolicyAdmin,2024-01-04 17:15:00
POL00000050,20240123,2024-01-23,C027002,SP0092,GP01,GP01,BR001,P002,CH01,384.91,4618.92,0.0,461.89,New Business,PolicyAdmin,2024-01-23 17:18:00
POL00000051,20240119,2024-01-19,C026972,SP0021,GP01,GP01,BR001,P002,CH01,361.51,4338.12,0.0,433.81,New Business,PolicyAdmin,2024-01-19 11:24:00
POL00000052,20240123,2024-01-23,C001003,SP0002,GP01,GP01,BR001,P002,CH02,424.79,5097.48,0.05,509.75,New Business,PolicyAdmin,2024-01-23 09:15:00
POL00000053,20240130,2024-01-30,C009493,SP0002,GP01,GP01,BR001,P002,CH02,297.91,3574.92,0.1,357.49,New Business,CRM,2024-01-30 09:02:00
POL00000054,20240126,2024-01-26,C018452,SP0002,GP01,GP01,BR001,P003,CH01,834.08,10008.96,0.05,1100.99,New Business,PolicyAdmin,2024-01-26 11:07:00
POL00000055,20240128,2024-01-28,C013718,SP0037,GP01,GP01,BR001,P003,CH05,865.59,10387.08,0.05,1142.58,New Business,CRM,2024-01-28 14:56:00
POL00000056,20240122,2024-01-22,C016569,SP0092,GP01,GP01,BR001,P003,CH04,774.47,9293.64,0.0,1022.3,New Business,DigitalPortal,2024-01-22 14:19:00
POL00000057,20240130,2024-01-30,C009888,SP0092,GP01,GP01,BR001,P003,CH02,546.78,6561.36,0.1,721.75,New Business,DigitalPortal,2024-01-30 15:22:00
POL00000058,20240113,2024-01-13,C005314,SP0021,GP01,GP01,BR001,P003,CH01,758.71,9104.52,0.0,1001.5,New Business,PolicyAdmin,2024-01-13 13:30:00
POL00000059,20240124,2024-01-24,C007337,SP0118,GP01,GP01,BR001,P003,CH01,691.66,8299.92,0.0,912.99,New Business,DigitalPortal,2024-01-24 08:19:00
POL00000060,20240123,2024-01-23,C003495,SP0021,GP01,GP01,BR001,P003,CH01,635.79,7629.48,0.0,839.24,New Business,CRM,2024-01-23 15:15:00
POL00000061,20240116,2024-01-16,C016389,SP0037,GP01,GP01,BR001,P003,CH02,799.23,9590.76,0.0,1054.98,New Business,PolicyAdmin,2024-01-16 09:42:00
POL00000062,20240103,2024-01-03,C019786,SP0002,GP01,GP01,BR001,P003,CH01,562.38,6748.56,0.1,742.34,New Business,PolicyAdmin,2024-01-03 08:35:00
POL00000063,20240114,2024-01-14,C028038,SP0021,GP01,GP01,BR001,P003,CH03,777.22,9326.64,0.0,1025.93,New Business,CRM,2024-01-14 17:26:00
POL00000064,20240124,2024-01-24,C022578,SP0118,GP01,GP01,BR001,P003,CH04,676.77,8121.24,0.0,893.34,New Business,PolicyAdmin,2024-01-24 09:21:00
POL00000065,20240115,2024-01-15,C006569,SP0002,GP01,GP01,BR001,P003,CH01,939.72,11276.64,0.0,1240.43,New Business,DigitalPortal,2024-01-15 08:47:00
POL00000066,20240105,2024-01-05,C025888,SP0002,GP01,GP01,BR001,P003,CH05,839.73,10076.76,0.0,1108.44,New Business,PolicyAdmin,2024-01-05 17:54:00
POL00000067,20240125,2024-01-25,C028697,SP0037,GP01,GP01,BR001,P003,CH04,512.43,6149.16,0.0,676.41,New Business,CRM,2024-01-25 17:43:00
POL00000068,20240126,2024-01-26,C013537,SP0002,GP01,GP01,BR001,P003,CH01,645.28,7743.36,0.0,851.77,New Business,CRM,2024-01-26 17:51:00
POL00000069,20240112,2024-01-12,C001869,SP0002,GP01,GP01,BR001,P003,CH04,746.47,8957.64,0.1,985.34,New Business,DigitalPortal,2024-01-12 14:47:00
POL00000070,20240130,2024-01-30,C029533,SP0037,GP01,GP01,BR001,P003,CH03,607.93,7295.16,0.0,802.47,New Business,CRM,2024-01-30 15:52:00
POL00000071,20240120,2024-01-20,C008977,SP0092,GP01,GP01,BR001,P003,CH03,698.03,8376.36,0.0,921.4,New Business,DigitalPortal,2024-01-20 11:04:00
POL00000072,20240127,2024-01-27,C008174,SP0002,GP01,GP01,BR001,P004,CH02,275.68,3308.16,0.0,363.9,New Business,CRM,2024-01-27 16:55:00
POL00000073,20240121,2024-01-21,C025837,SP0021,GP01,GP01,BR001,P004,CH03,367.52,4410.24,0.0,485.13,New Business,PolicyAdmin,2024-01-21 13:11:00
POL00000074,20240107,2024-01-07,C003852,SP0002,GP01,GP01,BR001,P004,CH05,316.74,3800.88,0.1,418.1,New Business,CRM,2024-01-07 10:08:00
POL00000075,20240107,2024-01-07,C022785,SP0037,GP01,GP01,BR001,P004,CH03,419.5,5034.0,0.05,553.74,New Business,PolicyAdmin,2024-01-07 14:33:00
POL00000076,20240120,2024-01-20,C009518,SP0092,GP01,GP01,BR001,P004,CH01,395.16,4741.92,0.0,521.61,New Business,PolicyAdmin,2024-01-20 13:14:00
POL00000077,20240120,2024-01-20,C002975,SP0118,GP01,GP01,BR001,P004,CH01,370.45,4445.4,0.05,488.99,New Business,PolicyAdmin,2024-01-20 08:47:00
POL00000078,20240106,2024-01-06,C000975,SP0021,GP01,GP01,BR001,P004,CH01,386.88,4642.56,0.0,510.68,New Business,CRM,2024-01-06 13:25:00
POL00000079,20240128,2024-01-28,C012697,SP0118,GP01,GP01,BR001,P004,CH01,288.49,3461.88,0.0,380.81,New Business,CRM,2024-01-28 09:13:00
POL00000080,20240121,2024-01-21,C026066,SP0037,GP01,GP01,BR001,P004,CH04,412.02,4944.24,0.0,543.87,New Business,DigitalPortal,2024-01-21 15:58:00
POL00000081,20240128,2024-01-28,C029796,SP0002,GP01,GP01,BR001,P004,CH02,339.54,4074.48,0.0,448.19,New Business,PolicyAdmin,2024-01-28 16:01:00
POL00000082,20240131,2024-01-31,C013702,SP0021,GP01,GP01,BR001,P004,CH03,385.69,4628.28,0.0,509.11,New Business,PolicyAdmin,2024-01-31 09:20:00
POL00000083,20240112,2024-01-12,C001146,SP0002,GP01,GP01,BR001,P004,CH03,379.82,4557.84,0.0,501.36,New Business,CRM,2024-01-12 11:58:00
POL00000084,20240116,2024-01-16,C025855,SP0037,GP01,GP01,BR001,P004,CH05,517.93,6215.16,0.0,683.67,New Business,CRM,2024-01-16 10:50:00
POL00000085,20240126,2024-01-26,C027619,SP0037,GP01,GP01,BR001,P004,CH02,447.56,5370.72,0.0,590.78,New Business,CRM,2024-01-26 14:51:00
POL00000086,20240126,2024-01-26,C024124,SP0021,GP01,GP01,BR001,P004,CH04,328.88,3946.56,0.0,434.12,New Business,CRM,2024-01-26 17:28:00
POL00000087,20240106,2024-01-06,C026165,SP0092,GP01,GP01,BR001,P004,CH03,470.96,5651.52,0.0,621.67,New Business,PolicyAdmin,2024-01-06 08:48:00
POL00000088,20240131,2024-01-31,C029747,SP0118,GP01,GP01,BR001,P004,CH01,383.92,4607.04,0.0,506.77,New Business,DigitalPortal,2024-01-31 09:25:00
POL00000089,20240130,2024-01-30,C023486,SP0092,GP01,GP01,BR001,P005,CH03,256.99,3083.88,0.0,493.42,New Business,CRM,2024-01-30 09:14:00
POL00000090,20240113,2024-01-13,C014856,SP0037,GP01,GP01,BR001,P005,CH05,260.45,3125.4,0.0,500.06,New Business,CRM,2024-01-13 17:10:00
POL00000091,20240104,2024-01-04,C015861,SP0118,GP01,GP01,BR001,P005,CH05,240.98,2891.76,0.0,462.68,New Business,PolicyAdmin,2024-01-04 17:24:00
POL00000092,20240102,2024-01-02,C025831,SP0092,GP01,GP01,BR001,P005,CH04,173.22,2078.64,0.0,332.58,New Business,PolicyAdmin,2024-01-02 10:44:00
POL00000093,20240113,2024-01-13,C010275,SP0037,GP01,GP01,BR001,P005,CH03,188.35,2260.2,0.05,361.63,New Business,CRM,2024-01-13 14:29:00
POL00000094,20240105,2024-01-05,C020050,SP0037,GP01,GP01,BR001,P005,CH01,364.1,4369.2,0.05,699.07,New Business,PolicyAdmin,2024-01-05 13:40:00
POL00000095,20240108,2024-01-08,C014623,SP0037,GP01,GP01,BR001,P005,CH02,210.76,2529.12,0.1,404.66,New Business,CRM,2024-01-08 08:10:00
POL00000096,20240115,2024-01-15,C025614,SP0037,GP01,GP01,BR001,P005,CH05,161.85,1942.2,0.0,310.75,New Business,CRM,2024-01-15 17:09:00
POL00000097,20240108,2024-01-08,C029677,SP0092,GP01,GP01,BR001,P005,CH01,185.34,2224.08,0.1,355.85,New Business,CRM,2024-01-08 10:48:00
POL00000098,20240101,2024-01-01,C017217,SP0118,GP01,GP01,BR001,P005,CH04,145.18,1742.16,0.0,278.75,New Business,PolicyAdmin,2024-01-01 08:49:00
POL00000099,20240121,2024-01-21,C011370,SP0037,GP01,GP01,BR001,P005,CH01,195.69,2348.28,0.0,375.72,New Business,CRM,2024-01-21 15:35:00
POL00000100,20240116,2024-01-16,C011962,SP0021,GP01,GP01,BR001,P005,CH01,209.39,2512.68,0.0,402.03,New Business,DigitalPortal,2024-01-16 17:19:00
POL00000101,20240123,2024-01-23,C017313,SP0037,GP01,GP01,BR001,P005,CH01,281.44,3377.28,0.0,540.36,New Business,PolicyAdmin,2024-01-23 13:09:00
POL00000102,20240110,2024-01-10,C025637,SP0002,GP01,GP01,BR001,P005,CH04,297.73,3572.76,0.05,571.64,New Business,CRM,2024-01-10 12:08:00
POL00000103,20240117,2024-01-17,C009257,SP0037,GP01,GP01,BR001,P005,CH04,153.67,1844.04,0.0,295.05,New Business,PolicyAdmin,2024-01-17 16:01:00
POL00000104,20240110,2024-01-10,C005311,SP0021,GP01,GP01,BR001,P005,CH05,218.44,2621.28,0.0,419.4,New Business,PolicyAdmin,2024-01-10 09:50:00
POL00000105,20240103,2024-01-03,C017825,SP0002,GP01,GP01,BR001,P005,CH01,196.13,2353.56,0.0,376.57,New Business,PolicyAdmin,2024-01-03 14:58:00
POL00000106,20240105,2024-01-05,C009797,SP0092,GP01,GP01,BR001,P005,CH04,158.69,1904.28,0.15,304.68,New Business,CRM,2024-01-05 12:46:00
POL00000107,20240125,2024-01-25,C011971,SP0118,GP01,GP01,BR001,P005,CH04,233.08,2796.96,0.0,447.51,New Business,CRM,2024-01-25 16:00:00
POL00000108,20240114,2024-01-14,C006953,SP0021,GP01,GP01,BR001,P005,CH04,244.14,2929.68,0.0,468.75,New Business,CRM,2024-01-14 11:04:00
POL00000109,20240103,2024-01-03,C022890,SP0037,GP01,GP01,BR001,P005,CH04,225.66,2707.92,0.0,433.27,New Business,CRM,2024-01-03 14:37:00
POL00000110,20240123,2024-01-23,C014112,SP0037,GP01,GP01,BR001,P005,CH05,225.98,2711.76,0.0,433.88,New Business,DigitalPortal,2024-01-23 08:13:00
POL00000111,20240125,2024-01-25,C021579,SP0002,GP01,GP01,BR001,P005,CH02,214.73,2576.76,0.0,412.28,New Business,PolicyAdmin,2024-01-25 13:06:00
POL00000112,20240126,2024-01-26,C000525,SP0002,GP01,GP01,BR001,P005,CH02,197.46,2369.52,0.0,379.12,New Business,DigitalPortal,2024-01-26 14:19:00
POL00000113,20240129,2024-01-29,C000750,SP0092,GP01,GP01,BR001,P005,CH03,182.04,2184.48,0.0,349.52,New Business,PolicyAdmin,2024-01-29 14:15:00
POL00000114,20240109,2024-01-09,C002870,SP0037,GP01,GP01,BR001,P005,CH01,152.78,1833.36,0.0,293.34,New Business,PolicyAdmin,2024-01-09 12:21:00
POL00000115,20240110,2024-01-10,C007137,SP0118,GP01,GP01,BR001,P005,CH03,162.14,1945.68,0.0,311.31,New Business,CRM,2024-01-10 14:42:00
POL00000116,20240115,2024-01-15,C003808,SP0021,GP01,GP01,BR001,P005,CH04,170.96,2051.52,0.0,328.24,New Business,CRM,2024-01-15 14:26:00
POL00000117,20240128,2024-01-28,C014456,SP0092,GP01,GP01,BR001,P005,CH03,237.87,2854.44,0.0,456.71,New Business,PolicyAdmin,2024-01-28 16:20:00
POL00000118,20240122,2024-01-22,C014722,SP0037,GP01,GP01,BR001,P005,CH02,138.08,1656.96,0.0,265.11,New Business,PolicyAdmin,2024-01-22 14:30:00
POL00000119,20240102,2024-01-02,C019024,SP0002,GP01,GP01,BR001,P005,CH05,195.11,2341.32,0.05,374.61,New Business,CRM,2024-01-02 16:31:00
POL00000120,20240109,2024-01-09,C011596,SP0002,GP01,GP01,BR001,P005,CH01,246.34,2956.08,0.0,472.97,New Business,CRM,2024-01-09 12:53:00
POL00000121,20240120,2024-01-20,C023716,SP0002,GP01,GP01,BR001,P005,CH02,193.12,2317.44,0.0,370.79,New Business,CRM,2024-01-20 08:20:00
POL00000122,20240116,2024-01-16,C007967,SP0092,GP01,GP01,BR001,P005,CH05,152.6,1831.2,0.15,292.99,New Business,CRM,2024-01-16 16:00:00
POL00000123,20240114,2024-01-14,C025944,SP0118,GP01,GP01,BR001,P005,CH02,205.9,2470.8,0.0,395.33,New Business,CRM,2024-01-14 08:24:00
POL00000124,20240121,2024-01-21,C012675,SP0021,GP01,GP01,BR001,P005,CH01,177.15,2125.8,0.05,340.13,New Business,PolicyAdmin,2024-01-21 16:12:00
POL00000125,20240109,2024-01-09,C025246,SP0002,GP01,GP01,BR001,P005,CH04,213.64,2563.68,0.0,410.19,New Business,DigitalPortal,2024-01-09 14:27:00
POL00000126,20240116,2024-01-16,C018557,SP0002,GP01,GP01,BR001,P006,CH01,408.42,4901.04,0.1,686.15,New Business,PolicyAdmin,2024-01-16 11:21:00
POL00000127,20240116,2024-01-16,C022674,SP0037,GP01,GP01,BR001,P006,CH03,488.29,5859.48,0.0,820.33,New Business,PolicyAdmin,2024-01-16 08:44:00
POL00000128,20240115,2024-01-15,C005800,SP0092,GP01,GP01,BR001,P006,CH03,510.02,6120.24,0.0,856.83,New Business,PolicyAdmin,2024-01-15 09:29:00
POL00000129,20240129,2024-01-29,C007882,SP0092,GP01,GP01,BR001,P006,CH04,610.37,7324.44,0.05,1025.42,New Business,PolicyAdmin,2024-01-29 12:25:00
POL00000130,20240109,2024-01-09,C026881,SP0021,GP01,GP01,BR001,P006,CH02,418.65,5023.8,0.0,703.33,New Business,PolicyAdmin,2024-01-09 08:55:00
POL00000131,20240111,2024-01-11,C014806,SP0092,GP01,GP01,BR001,P006,CH03,484.5,5814.0,0.0,813.96,New Business,PolicyAdmin,2024-01-11 16:53:00
POL00000132,20240108,2024-01-08,C007721,SP0092,GP01,GP01,BR001,P006,CH04,527.51,6330.12,0.0,886.22,New Business,DigitalPortal,2024-01-08 16:58:00
POL00000133,20240119,2024-01-19,C006879,SP0092,GP01,GP01,BR001,P006,CH01,628.66,7543.92,0.1,1056.15,New Business,PolicyAdmin,2024-01-19 11:37:00
POL00000134,20240122,2024-01-22,C001715,SP0118,GP01,GP01,BR001,P006,CH04,536.35,6436.2,0.0,901.07,New Business,CRM,2024-01-22 14:00:00
POL00000135,20240101,2024-01-01,C023517,SP0021,GP01,GP01,BR001,P006,CH04,362.3,4347.6,0.05,608.66,New Business,CRM,2024-01-01 11:07:00
POL00000136,20240114,2024-01-14,C018842,SP0021,GP01,GP01,BR001,P006,CH02,372.71,4472.52,0.1,626.15,New Business,PolicyAdmin,2024-01-14 17:14:00
POL00000137,20240109,2024-01-09,C005918,SP0092,GP01,GP01,BR001,P006,CH01,519.61,6235.32,0.0,872.94,New Business,PolicyAdmin,2024-01-09 08:30:00
POL00000138,20240104,2024-01-04,C007228,SP0037,GP01,GP01,BR001,P006,CH02,627.23,7526.76,0.0,1053.75,New Business,PolicyAdmin,2024-01-04 14:51:00
POL00000139,20240126,2024-01-26,C020060,SP0092,GP01,GP01,BR001,P006,CH02,496.54,5958.48,0.1,834.19,New Business,DigitalPortal,2024-01-26 12:43:00
POL00000140,20240128,2024-01-28,C022146,SP0118,GP01,GP01,BR001,P006,CH04,627.48,7529.76,0.05,1054.17,New Business,CRM,2024-01-28 17:01:00
POL00000141,20240120,2024-01-20,C007182,SP0118,GP01,GP01,BR001,P006,CH01,400.84,4810.08,0.15,673.41,New Business,DigitalPortal,2024-01-20 15:44:00
POL00000142,20240120,2024-01-20,C006080,SP0002,GP01,GP01,BR001,P006,CH04,489.95,5879.4,0.0,823.12,New Business,CRM,2024-01-20 08:15:00
POL00000143,20240124,2024-01-24,C020392,SP0037,GP01,GP01,BR001,P006,CH04,487.09,5845.08,0.0,818.31,New Business,CRM,2024-01-24 14:20:00
POL00000144,20240120,2024-01-20,C016947,SP0002,GP01,GP01,BR001,P006,CH04,422.46,5069.52,0.15,709.73,New Business,PolicyAdmin,2024-01-20 11:44:00
POL00000145,20240121,2024-01-21,C017422,SP0092,GP01,GP01,BR001,P006,CH02,818.49,9821.88,0.0,1375.06,New Business,PolicyAdmin,2024-01-21 11:26:00
POL00000146,20240107,2024-01-07,C010267,SP0002,GP01,GP01,BR001,P006,CH03,737.93,8855.16,0.0,1239.72,New Business,PolicyAdmin,2024-01-07 15:09:00
POL00000147,20240120,2024-01-20,C024993,SP0092,GP01,GP01,BR001,P006,CH02,608.88,7306.56,0.0,1022.92,New Business,PolicyAdmin,2024-01-20 13:58:00
POL00000148,20240127,2024-01-27,C023393,SP0092,GP01,GP01,BR001,P006,CH05,528.36,6340.32,0.15,887.64,New Business,CRM,2024-01-27 09:58:00
POL00000149,20240105,2024-01-05,C001760,SP0037,GP01,GP01,BR001,P006,CH03,593.91,7126.92,0.05,997.77,New Business,PolicyAdmin,2024-01-05 14:20:00
POL00000150,20240109,2024-01-09,C014170,SP0002,GP01,GP01,BR001,P006,CH04,523.92,6287.04,0.0,880.19,New Business,CRM,2024-01-09 13:56:00
POL00000151,20240127,2024-01-27,C022717,SP0021,GP01,GP01,BR001,P006,CH01,849.5,10194.0,0.0,1427.16,New Business,PolicyAdmin,2024-01-27 13:39:00
POL00000152,20240113,2024-01-13,C005791,SP0118,GP01,GP01,BR001,P006,CH01,590.12,7081.44,0.0,991.4,New Business,DigitalPortal,2024-01-13 13:28:00
POL00000153,20240109,2024-01-09,C012355,SP0118,GP01,GP01,BR001,P006,CH04,509.96,6119.52,0.0,856.73,New Business,CRM,2024-01-09 11:48:00
POL00000154,20240121,2024-01-21,C017848,SP0002,GP01,GP01,BR001,P006,CH03,590.12,7081.44,0.0,991.4,New Business,CRM,2024-01-21 16:44:00
POL00000155,20240112,2024-01-12,C015453,SP0021,GP01,GP01,BR001,P006,CH03,450.02,5400.24,0.0,756.03,New Business,DigitalPortal,2024-01-12 14:25:00
POL00000156,20240126,2024-01-26,C019862,SP0037,GP01,GP01,BR001,P007,CH01,341.17,4094.04,0.0,532.23,New Business,CRM,2024-01-26 12:59:00
POL00000157,20240110,2024-01-10,C027516,SP0002,GP01,GP01,BR001,P007,CH01,323.86,3886.32,0.0,505.22,New Business,DigitalPortal,2024-01-10 10:43:00
POL00000158,20240112,2024-01-12,C010651,SP0002,GP01,GP01,BR001,P007,CH04,425.89,5110.68,0.0,664.39,New Business,PolicyAdmin,2024-01-12 08:04:00
POL00000159,20240120,2024-01-20,C020343,SP0092,GP01,GP01,BR001,P007,CH03,379.09,4549.08,0.0,591.38,New Business,PolicyAdmin,2024-01-20 09:37:00
POL00000160,20240109,2024-01-09,C020995,SP0118,GP01,GP01,BR001,P007,CH05,434.81,5217.72,0.15,678.3,New Business,CRM,2024-01-09 13:34:00
