assignment_sk,salesperson_id,team_id,region_id,effective_start_date,effective_end_date,is_current
ASG00063,SP0049,TM002,GP05,2024-01-01,2026-12-31,True
ASG00064,SP0050,TM013,NW02,2024-01-01,2026-12-31,True
ASG00065,SP0051,TM014,NC01,2024-01-01,2026-12-31,True
ASG00066,SP0052,TM003,GP05,2024-08-12,2025-07-06,False
ASG00067,SP0052,TM002,GP01,2025-07-07,2026-12-31,True
ASG00068,SP0053,TM013,NW01,2024-01-01,2026-12-31,True
ASG00069,SP0054,TM010,FS01,2024-01-01,2026-12-31,True
ASG00070,SP0055,TM009,EC02,2024-07-08,2025-05-03,False
ASG00071,SP0055,TM008,EC01,2025-05-04,2026-12-31,True
ASG00072,SP0056,TM012,MP02,2024-09-23,2026-12-31,True
ASG00073,SP0057,TM004,WC01,2024-01-01,2026-12-31,True
ASG00074,SP0058,TM013,NW01,2024-01-01,2026-12-31,True
ASG00075,SP0059,TM001,GP05,2024-01-09,2026-12-31,True
ASG00076,SP0060,TM005,WC03,2024-07-07,2026-12-31,True
ASG00077,SP0061,TM011,LP02,2024-08-14,2026-12-31,True
ASG00078,SP0062,TM011,LP01,2024-01-01,2026-12-31,True
ASG00079,SP0063,TM002,GP02,2024-01-01,2026-12-31,True
ASG00080,SP0064,TM011,LP01,2024-01-01,2026-12-31,True
ASG00081,SP0065,TM005,WC02,2024-01-01,2026-12-31,True
ASG00082,SP0066,TM014,NC01,2024-09-19,2026-12-31,True
ASG00083,SP0067,TM011,LP01,2024-01-01,2026-12-31,True
ASG00084,SP0068,TM003,GP04,2024-01-01,2026-12-31,True
ASG00085,SP0069,TM009,EC03,2024-03-07,2025-09-07,False
ASG00086,SP0069,TM008,EC01,2025-09-08,2026-12-31,True
ASG00087,SP0070,TM002,GP04,2024-01-01,2026-12-31,True
ASG00088,SP0071,TM014,NC01,2025-02-22,2026-12-31,True
ASG00089,SP0072,TM008,EC01,2024-01-01,2025-11-30,False
ASG00090,SP0072,TM009,EC03,2025-12-01,2026-12-31,True
ASG00091,SP0073,TM009,EC03,2024-01-01,2026-12-31,True
ASG00092,SP0074,TM004,WC04,2024-01-01,2026-12-31,True
ASG00093,SP0075,TM002,GP04,2024-01-01,2026-01-08,False
ASG00094,SP0075,TM001,GP05,2026-01-09,2026-12-31,True
ASG00095,SP0076,TM011,LP02,2024-01-01,2025-10-13,False
ASG00096,SP0076,TM003,GP05,2025-10-14,2026-12-31,True
ASG00097,SP0077,TM004,WC01,2024-01-01,2026-12-31,True
ASG00098,SP0078,TM008,EC01,2024-01-01,2025-12-26,False
ASG00099,SP0078,TM009,EC02,2025-12-27,2026-12-31,True
ASG00100,SP0079,TM008,EC02,2024-01-01,2026-12-31,True
ASG00101,SP0080,TM001,GP02,2024-02-23,2026-12-31,True
ASG00102,SP0081,TM012,MP02,2024-01-01,2026-12-31,True
ASG00103,SP0082,TM002,GP05,2024-01-01,2026-12-31,True
ASG00104,SP0083,TM007,KZN04,2024-01-01,2026-12-31,True
ASG00105,SP0084,TM006,KZN04,2025-05-15,2026-12-31,True
ASG00106,SP0085,TM012,MP02,2024-01-01,2026-12-31,True
ASG00107,SP0086,TM010,FS01,2024-12-06,2026-12-31,True
ASG00108,SP0087,TM003,GP04,2024-07-17,2025-07-16,False
ASG00109,SP0087,TM002,GP05,2025-07-17,2026-12-31,True
ASG00110,SP0088,TM001,GP05,2024-01-01,2026-12-31,True
ASG00111,SP0089,TM012,MP02,2024-01-01,2026-12-31,True
ASG00112,SP0090,TM002,GP03,2024-05-20,2025-01-01,False
ASG00113,SP0090,TM001,GP03,2025-01-02,2026-12-31,True
ASG00114,SP0091,TM001,GP04,2024-01-01,2025-11-08,False
ASG00115,SP0091,TM002,GP05,2025-11-09,2026-12-31,True
ASG00116,SP0092,TM002,GP01,2024-09-23,2026-12-31,True
ASG00117,SP0093,TM003,GP04,2024-01-01,2026-12-31,True
ASG00118,SP0094,TM001,GP03,2024-01-01,2026-12-31,True
ASG00119,SP0095,TM010,FS02,2024-01-01,2026-12-31,True
ASG00120,SP0096,TM008,EC02,2024-06-08,2026-12-31,True
ASG00121,SP0097,TM003,GP04,2024-01-01,2026-12-31,True
ASG00122,SP0098,TM007,KZN03,2025-02-13,2026-12-31,True
ASG00123,SP0099,TM006,KZN02,2024-01-01,2026-12-31,True
ASG00124,SP0100,TM009,EC03,2024-01-01,2026-12-31,True
ASG00125,SP0101,TM006,KZN02,2024-09-06,2026-12-31,True
ASG00126,SP0102,TM005,WC01,2024-01-01,2026-12-31,True
ASG00127,SP0103,TM009,EC02,2024-01-01,2025-05-21,False
ASG00128,SP0103,TM008,EC02,2025-05-22,2026-12-31,True
ASG00129,SP0104,TM004,WC03,2024-06-13,2026-12-31,True
ASG00130,SP0105,TM009,EC03,2025-03-19,2025-09-14,False
ASG00131,SP0105,TM008,EC01,2025-09-15,2026-12-31,True
ASG00132,SP0106,TM012,MP01,2024-01-01,2026-12-31,True
ASG00133,SP0107,TM005,WC01,2024-01-01,2026-12-31,True
ASG00134,SP0108,TM012,MP01,2024-01-01,2026-12-31,True
ASG00135,SP0109,TM003,GP05,2024-01-01,2026-12-31,True
ASG00136,SP0110,TM006,KZN03,2024-01-01,2025-07-17,False
ASG00137,SP0110,TM007,KZN04,2025-07-18,2026-12-31,True
ASG00138,SP0111,TM002,GP04,2024-01-01,2026-12-31,True
ASG00139,SP0112,TM011,LP02,2024-01-06,2026-12-31,True
ASG00140,SP0113,TM009,EC01,2024-01-01,2026-02-13,False
ASG00141,SP0113,TM008,EC01,2026-02-14,2026-12-31,True
ASG00142,SP0114,TM006,KZN01,2024-08-31,2026-12-31,True
ASG00143,SP0115,TM012,MP01,2024-01-01,2026-12-31,True
ASG00144,SP0116,TM012,MP02,2024-04-23,2026-12-31,True
ASG00145,SP0117,TM003,GP02,2024-01-01,2025-01-03,False
ASG00146,SP0117,TM001,GP01,2025-01-04,2026-12-31,True
ASG00147,SP0118,TM003,GP01,2024-01-01,2026-12-31,True
ASG00148,SP0119,TM002,GP04,2024-09-06,2026-12-31,True
ASG00149,SP0120,TM012,MP02,2024-05-05,2026-02-06,False
ASG00150,SP0120,TM004,WC02,2026-02-07,2026-12-31,True
ASG00151,SP0121,TM008,EC03,2025-01-30,2026-12-31,True
ASG00152,SP0122,TM006,KZN01,2024-01-01,2026-12-31,True
ASG00153,SP0123,TM012,MP01,2024-01-01,2026-12-31,True
ASG00154,SP0124,TM014,NC01,2025-01-07,2026-12-31,True
ASG00155,SP0125,TM005,WC03,2024-01-01,2026-12-31,True
ASG00156,SP0126,TM007,KZN02,2024-01-01,2026-12-31,True
ASG00157,SP0127,TM008,EC03,2024-01-01,2026-12-31,True
ASG00158,SP0128,TM007,KZN04,2024-01-01,2025-06-21,False
ASG00159,SP0128,TM006,KZN01,2025-06-22,2026-12-31,True
ASG00160,SP0129,TM007,KZN04,2024-10-18,2026-12-31,True
ASG00161,SP0130,TM007,KZN04,2025-03-19,2026-12-31,True
ASG00162,SP0131,TM012,MP01,2024-03-20,2025-12-08,False
ASG00163,SP0131,TM011,LP02,2025-12-09,2026-12-31,True
ASG00164,SP0132,TM002,GP05,2024-01-01,2026-12-31,True
ASG00165,SP0133,TM005,WC03,2025-04-14,2025-09-16,False
ASG00166,SP0133,TM004,WC01,2025-09-17,2026-12-31,True
ASG00167,SP0134,TM002,GP05,2024-01-01,2025-04-16,False
ASG00168,SP0134,TM001,GP05,2025-04-17,2026-12-31,True
ASG00169,SP0135,TM001,GP05,2024-01-01,2026-12-31,True
ASG00170,SP0136,TM010,FS02,2024-01-01,2026-12-31,True
ASG00171,SP0137,TM006,KZN01,2024-01-01,2026-12-31,True
ASG00172,SP0138,TM013,NW01,2025-03-03,2026-12-31,True
ASG00173,SP0139,TM010,FS01,2024-12-04,2026-12-31,True
ASG00174,SP0140,TM012,MP02,2024-06-01,2026-12-31,True
ASG00175,SP0141,TM002,GP04,2024-01-01,2026-12-31,True
ASG00176,SP0142,TM002,GP05,2024-01-01,2025-09-10,False
ASG00177,SP0142,TM003,GP03,2025-09-11,2026-12-31,True
ASG00178,SP0143,TM011,LP01,2024-01-01,2026-12-31,True
ASG00179,SP0144,TM014,NC01,2024-03-21,2025-02-19,False
ASG00180,SP0144,TM006,KZN02,2025-02-20,2026-12-31,True
ASG00181,SP0145,TM013,NW01,2024-01-01,2026-12-31,True
ASG00182,SP0146,TM008,EC03,2024-01-01,2025-09-30,False
ASG00183,SP0146,TM009,EC02,2025-10-01,2026-12-31,True
ASG00184,SP0147,TM005,WC03,2024-11-20,2026-12-31,True
ASG00185,SP0148,TM005,WC04,2024-12-06,2026-12-31,True
ASG00186,SP0149,TM013,NW02,2025-04-24,2026-12-31,True
ASG00187,SP0150,TM012,MP01,2024-01-01,2026-12-31,True
ASG00188,SP0151,TM013,NW02,2024-01-01,2026-12-31,True
ASG00189,SP0152,TM013,NW01,2024-01-01,2026-12-31,True
ASG00190,SP0153,TM012,MP02,2024-01-01,2026-12-31,True
ASG00191,SP0154,TM006,KZN04,2024-01-01,2026-12-31,True
ASG00192,SP0155,TM007,KZN01,2025-02-09,2026-12-31,True
ASG00193,SP0156,TM009,EC03,2024-01-01,2025-01-15,False
ASG00194,SP0156,TM008,EC03,2025-01-16,2026-12-31,True
ASG00195,SP0157,TM005,WC01,2024-09-25,2026-12-31,True
ASG00196,SP0158,TM007,KZN01,2024-01-01,2026-12-31,True
ASG00197,SP0159,TM006,KZN01,2024-01-01,2026-12-31,True
ASG00198,SP0160,TM004,WC03,2024-01-01,2026-12-31,True
