customer_id,customer_segment,province,age_band,tenure_band,digital_engagement_score,synthetic_data_flag
C000044,Mass,Mpumalanga,35-44,5+ Years,63.6,True
C000045,Mass,KwaZulu-Natal,25-34,1-2 Years,61.6,True
C000046,Middle Market,Eastern Cape,55-64,New,37.1,True
C000047,Mass,Free State,25-34,3-5 Years,67.7,True
C000048,Affluent,Limpopo,45-54,5+ Years,9.2,True
C000049,Mass,Eastern Cape,35-44,5+ Years,61.3,True
C000050,Middle Market,Mpumalanga,45-54,3-5 Years,80.5,True
C000051,Middle Market,Western Cape,25-34,New,75.1,True
C000052,Middle Market,North West,25-34,New,33.3,True
C000053,Middle Market,Western Cape,55-64,1-2 Years,29.6,True
C000054,Middle Market,Gauteng,25-34,5+ Years,29.4,True
C000055,SME Owner,Gauteng,45-54,3-5 Years,85.1,True
C000056,Mass,KwaZulu-Natal,55-64,5+ Years,74.5,True
C000057,Mass,Gauteng,25-34,1-2 Years,28.1,True
C000058,Middle Market,Gauteng,25-34,3-5 Years,31.8,True
C000059,Affluent,Western Cape,25-34,1-2 Years,47.6,True
C000060,Mass,KwaZulu-Natal,55-64,3-5 Years,91.5,True
C000061,Middle Market,Gauteng,65+,3-5 Years,61.4,True
C000062,Affluent,KwaZulu-Natal,55-64,New,63.1,True
C000063,Middle Market,KwaZulu-Natal,35-44,5+ Years,59.3,True
C000064,SME Owner,Eastern Cape,35-44,3-5 Years,19.8,True
C000065,Middle Market,KwaZulu-Natal,55-64,1-2 Years,59.6,True
C000066,Middle Market,Gauteng,55-64,1-2 Years,53.6,True
C000067,Mass,Northern Cape,18-24,5+ Years,50.9,True
C000068,SME Owner,Mpumalanga,25-34,1-2 Years,40.9,True
C000069,Mass,Western Cape,35-44,3-5 Years,48.7,True
C000070,Middle Market,Gauteng,45-54,1-2 Years,22.0,True
C000071,Mass,KwaZulu-Natal,35-44,3-5 Years,10.5,True
C000072,Middle Market,Limpopo,25-34,1-2 Years,37.9,True
C000073,Middle Market,Limpopo,55-64,1-2 Years,94.0,True
C000074,Middle Market,Mpumalanga,25-34,New,71.1,True
C000075,Affluent,North West,25-34,New,16.5,True
C000076,Mass,Eastern Cape,45-54,5+ Years,87.3,True
C000077,Middle Market,Gauteng,55-64,5+ Years,33.4,True
C000078,Mass,Gauteng,35-44,5+ Years,97.3,True
C000079,Mass,Gauteng,65+,3-5 Years,28.2,True
C000080,Middle Market,Gauteng,55-64,1-2 Years,75.3,True
C000081,Mass,Gauteng,25-34,5+ Years,85.2,True
C000082,Mass,Western Cape,25-34,5+ Years,39.1,True
C000083,Middle Market,Free State,25-34,1-2 Years,32.7,True
C000084,Middle Market,Gauteng,35-44,1-2 Years,88.4,True
C000085,Middle Market,Free State,45-54,1-2 Years,29.2,True
C000086,Mass,Mpumalanga,45-54,1-2 Years,26.1,True
C000087,Mass,Gauteng,35-44,3-5 Years,26.3,True
C000088,Mass,Gauteng,25-34,5+ Years,69.8,True
C000089,Middle Market,Western Cape,25-34,5+ Years,64.9,True
C000090,Affluent,Limpopo,35-44,New,12.5,True
C000091,Mass,Eastern Cape,25-34,3-5 Years,27.5,True
C000092,Middle Market,Gauteng,18-24,New,86.1,True
C000093,Mass,KwaZulu-Natal,55-64,1-2 Years,68.6,True
C000094,Mass,Free State,35-44,1-2 Years,42.3,True
C000095,Mass,Gauteng,35-44,5+ Years,7.6,True
C000096,Mass,KwaZulu-Natal,25-34,1-2 Years,50.4,True
C000097,Middle Market,Western Cape,55-64,3-5 Years,91.5,True
C000098,Affluent,Gauteng,55-64,3-5 Years,49.5,True
C000099,Mass,Mpumalanga,35-44,1-2 Years,81.7,True
C000100,Middle Market,Gauteng,25-34,3-5 Years,58.1,True
C000101,Middle Market,Limpopo,45-54,3-5 Years,48.5,True
C000102,SME Owner,Eastern Cape,35-44,1-2 Years,38.7,True
C000103,Middle Market,Gauteng,55-64,1-2 Years,13.2,True
C000104,Mass,Eastern Cape,35-44,New,50.6,True
C000105,Middle Market,Gauteng,55-64,New,31.4,True
C000106,Mass,Gauteng,45-54,1-2 Years,41.5,True
C000107,SME Owner,Gauteng,35-44,5+ Years,27.6,True
C000108,Mass,Mpumalanga,45-54,1-2 Years,47.0,True
C000109,Middle Market,Mpumalanga,25-34,5+ Years,66.9,True
C000110,Mass,Gauteng,35-44,New,75.6,True
C000111,Mass,Western Cape,35-44,1-2 Years,18.8,True
C000112,Affluent,Northern Cape,35-44,1-2 Years,52.1,True
C000113,Middle Market,KwaZulu-Natal,45-54,1-2 Years,50.6,True
C000114,Middle Market,Gauteng,25-34,3-5 Years,88.6,True
C000115,Affluent,Western Cape,25-34,1-2 Years,76.5,True
C000116,Affluent,Western Cape,35-44,New,49.1,True
C000117,Mass,Gauteng,25-34,New,37.6,True
C000118,Middle Market,KwaZulu-Natal,25-34,1-2 Years,85.7,True
C000119,Middle Market,Eastern Cape,45-54,3-5 Years,66.1,True
C000120,Middle Market,Eastern Cape,35-44,1-2 Years,16.7,True
C000121,Mass,Western Cape,65+,5+ Years,69.1,True
C000122,Mass,Eastern Cape,45-54,New,29.8,True
C000123,Affluent,KwaZulu-Natal,35-44,5+ Years,44.3,True
C000124,Affluent,Eastern Cape,25-34,5+ Years,21.8,True
C000125,Affluent,Gauteng,25-34,3-5 Years,35.7,True
C000126,SME Owner,Western Cape,35-44,3-5 Years,63.4,True
C000127,Middle Market,Western Cape,35-44,New,44.5,True
C000128,Middle Market,Western Cape,35-44,3-5 Years,96.3,True
C000129,Middle Market,Eastern Cape,35-44,New,28.9,True
C000130,Middle Market,KwaZulu-Natal,25-34,1-2 Years,52.2,True
C000131,Middle Market,Western Cape,35-44,New,57.3,True
C000132,Mass,KwaZulu-Natal,18-24,1-2 Years,26.1,True
C000133,Middle Market,Eastern Cape,35-44,New,52.8,True
C000134,Mass,KwaZulu-Natal,35-44,5+ Years,62.4,True
C000135,Mass,Eastern Cape,45-54,3-5 Years,61.8,True
C000136,Middle Market,Limpopo,45-54,3-5 Years,42.4,True
C000137,Mass,Eastern Cape,45-54,3-5 Years,27.9,True
C000138,Mass,Gauteng,55-64,1-2 Years,34.5,True
C000139,Affluent,Limpopo,25-34,3-5 Years,53.2,True
C000140,Affluent,Western Cape,55-64,3-5 Years,45.8,True
C000141,Mass,KwaZulu-Natal,35-44,3-5 Years,25.9,True
C000142,Mass,Northern Cape,45-54,3-5 Years,30.0,True
C000143,Mass,Gauteng,25-34,New,61.6,True
C000144,Middle Market,Gauteng,25-34,1-2 Years,15.5,True
C000145,Affluent,Gauteng,65+,3-5 Years,52.8,True
C000146,Mass,Northern Cape,25-34,New,24.4,True
C000147,Middle Market,Western Cape,35-44,New,75.8,True
C000148,Mass,Free State,25-34,3-5 Years,45.9,True
C000149,Mass,Gauteng,25-34,New,60.4,True
C000150,SME Owner,Gauteng,65+,3-5 Years,78.0,True
C000151,Mass,Gauteng,45-54,New,64.0,True
C000152,Mass,Free State,45-54,New,88.3,True
C000153,Middle Market,Gauteng,25-34,3-5 Years,59.9,True
C000154,Middle Market,Mpumalanga,25-34,5+ Years,17.1,True
C000155,Affluent,KwaZulu-Natal,45-54,1-2 Years,42.0,True
C000156,SME Owner,Mpumalanga,25-34,1-2 Years,70.7,True
C000157,Mass,Western Cape,25-34,1-2 Years,49.3,True
C000158,Mass,KwaZulu-Natal,35-44,New,10.8,True
C000159,Middle Market,Gauteng,25-34,3-5 Years,60.9,True
C000160,Mass,Western Cape,65+,5+ Years,86.5,True
C000161,Affluent,KwaZulu-Natal,35-44,3-5 Years,75.2,True
C000162,Middle Market,Gauteng,18-24,1-2 Years,51.8,True
C000163,Mass,Northern Cape,35-44,1-2 Years,47.8,True
C000164,Affluent,Gauteng,35-44,New,43.1,True
C000165,Mass,Gauteng,35-44,3-5 Years,43.7,True
C000166,Middle Market,KwaZulu-Natal,55-64,1-2 Years,46.9,True
C000167,Middle Market,Western Cape,35-44,5+ Years,87.2,True
C000168,Middle Market,Gauteng,25-34,3-5 Years,82.7,True
C000169,Middle Market,Northern Cape,35-44,1-2 Years,20.4,True
C000170,Middle Market,Gauteng,45-54,1-2 Years,62.1,True
C000171,SME Owner,KwaZulu-Natal,25-34,New,69.0,True
C000172,SME Owner,Gauteng,55-64,1-2 Years,95.1,True
C000173,Middle Market,Gauteng,18-24,5+ Years,68.8,True
C000174,Mass,Western Cape,25-34,3-5 Years,25.5,True
C000175,Middle Market,Free State,55-64,1-2 Years,58.3,True
C000176,SME Owner,KwaZulu-Natal,25-34,1-2 Years,27.9,True
C000177,Mass,Gauteng,18-24,3-5 Years,13.3,True
C000178,Middle Market,Gauteng,18-24,5+ Years,68.2,True
C000179,Middle Market,North West,45-54,1-2 Years,40.4,True
C000180,Mass,Gauteng,25-34,3-5 Years,60.9,True
C000181,Middle Market,KwaZulu-Natal,45-54,5+ Years,68.5,True
C000182,Mass,Gauteng,45-54,3-5 Years,54.4,True
C000183,Middle Market,Gauteng,45-54,3-5 Years,46.1,True
C000184,Affluent,Gauteng,55-64,5+ Years,89.5,True
C000185,Affluent,Gauteng,55-64,1-2 Years,57.0,True
C000186,Mass,KwaZulu-Natal,25-34,New,81.3,True
C000187,Mass,Western Cape,55-64,1-2 Years,20.2,True
C000188,Middle Market,Free State,25-34,New,49.7,True
C000189,Affluent,Gauteng,55-64,5+ Years,88.6,True
C000190,Middle Market,Western Cape,35-44,3-5 Years,43.5,True
C000191,Affluent,Western Cape,25-34,3-5 Years,52.8,True
C000192,Mass,Gauteng,45-54,1-2 Years,33.3,True
C000193,Affluent,Gauteng,45-54,3-5 Years,55.2,True
C000194,Mass,Gauteng,55-64,3-5 Years,64.8,True
C000195,Mass,Gauteng,35-44,New,48.9,True
C000196,Middle Market,Western Cape,45-54,New,55.6,True
C000197,Mass,Gauteng,35-44,5+ Years,49.7,True
C000198,Mass,Western Cape,35-44,5+ Years,43.5,True
C000199,Mass,Western Cape,25-34,3-5 Years,25.3,True
C000200,Middle Market,Western Cape,35-44,1-2 Years,35.0,True
C000201,Middle Market,Gauteng,55-64,5+ Years,31.0,True
C000202,Mass,Western Cape,45-54,5+ Years,45.9,True
C000203,Middle Market,Western Cape,45-54,3-5 Years,22.9,True
C000204,Affluent,Northern Cape,65+,3-5 Years,86.8,True
C000205,Mass,Gauteng,45-54,New,29.5,True
C000206,Mass,Gauteng,45-54,3-5 Years,76.2,True
C000207,Affluent,Limpopo,45-54,5+ Years,85.3,True
C000208,Affluent,Gauteng,35-44,3-5 Years,50.9,True
C000209,Middle Market,Gauteng,35-44,5+ Years,69.8,True
C000210,Affluent,Limpopo,65+,New,85.9,True
C000211,Mass,KwaZulu-Natal,35-44,New,35.9,True
C000212,Mass,KwaZulu-Natal,35-44,5+ Years,49.6,True
C000213,Middle Market,Gauteng,18-24,5+ Years,59.0,True
C000214,Mass,Gauteng,25-34,1-2 Years,44.6,True
C000215,Middle Market,Gauteng,45-54,5+ Years,84.1,True
C000216,Middle Market,Eastern Cape,55-64,New,83.8,True
C000217,Middle Market,Western Cape,45-54,1-2 Years,42.3,True
C000218,Middle Market,KwaZulu-Natal,45-54,New,13.8,True
C000219,Mass,North West,55-64,5+ Years,65.9,True
C000220,Mass,Northern Cape,35-44,5+ Years,37.7,True
C000221,Mass,Gauteng,25-34,New,77.7,True
C000222,Middle Market,KwaZulu-Natal,45-54,5+ Years,34.7,True
C000223,Mass,Eastern Cape,55-64,New,39.4,True
C000224,Mass,Free State,35-44,5+ Years,73.1,True
C000225,Mass,Mpumalanga,55-64,5+ Years,81.0,True
C000226,Mass,Eastern Cape,55-64,5+ Years,85.9,True
C000227,Affluent,Eastern Cape,18-24,New,58.0,True
C000228,Mass,Gauteng,35-44,1-2 Years,31.4,True
C000229,SME Owner,KwaZulu-Natal,35-44,3-5 Years,24.5,True
C000230,Mass,KwaZulu-Natal,35-44,1-2 Years,60.1,True
C000231,Middle Market,Eastern Cape,25-34,1-2 Years,52.5,True
C000232,Middle Market,KwaZulu-Natal,35-44,3-5 Years,83.3,True
C000233,Mass,Western Cape,45-54,New,78.6,True
C000234,Affluent,Western Cape,45-54,3-5 Years,63.0,True
C000235,SME Owner,North West,55-64,New,45.0,True
C000236,Affluent,Gauteng,45-54,1-2 Years,54.2,True
C000237,Mass,Free State,45-54,3-5 Years,64.0,True
C000238,Mass,KwaZulu-Natal,25-34,3-5 Years,62.9,True
C000239,Middle Market,Western Cape,18-24,New,59.8,True
C000240,Mass,Western Cape,35-44,1-2 Years,61.0,True
C000241,Middle Market,KwaZulu-Natal,45-54,3-5 Years,91.8,True
C000242,Middle Market,Free State,35-44,3-5 Years,32.8,True
C000243,Middle Market,Gauteng,55-64,1-2 Years,72.8,True
C000244,Affluent,Mpumalanga,45-54,3-5 Years,31.1,True
C000245,Middle Market,Free State,25-34,New,33.5,True
C000246,Mass,Western Cape,25-34,1-2 Years,43.6,True
C000247,Mass,Gauteng,45-54,3-5 Years,55.4,True
C000248,Middle Market,Gauteng,35-44,5+ Years,67.6,True
C000249,Middle Market,Gauteng,18-24,New,72.1,True
C000250,Mass,Gauteng,35-44,3-5 Years,18.6,True
C000251,Mass,Gauteng,18-24,New,67.2,True
C000252,Middle Market,North West,35-44,3-5 Years,25.6,True
C000253,Affluent,KwaZulu-Natal,55-64,5+ Years,64.6,True
C000254,Middle Market,Limpopo,25-34,5+ Years,40.6,True
C000255,Mass,KwaZulu-Natal,35-44,New,87.0,True
C000256,Mass,KwaZulu-Natal,45-54,New,35.7,True
C000257,Middle Market,Mpumalanga,35-44,1-2 Years,91.2,True
C000258,Mass,Gauteng,35-44,1-2 Years,62.9,True
C000259,Middle Market,Eastern Cape,35-44,1-2 Years,72.7,True
C000260,Middle Market,Mpumalanga,55-64,New,10.3,True
C000261,Mass,North West,55-64,3-5 Years,51.1,True
C000262,Mass,Western Cape,25-34,3-5 Years,44.6,True
C000263,Mass,Limpopo,65+,1-2 Years,26.8,True
C000264,Affluent,Western Cape,25-34,3-5 Years,72.8,True
C000265,Middle Market,Gauteng,25-34,1-2 Years,49.7,True
C000266,Mass,Gauteng,45-54,3-5 Years,78.8,True
C000267,Affluent,Western Cape,55-64,1-2 Years,81.0,True
C000268,Middle Market,Gauteng,25-34,1-2 Years,61.3,True
C000269,Middle Market,Gauteng,25-34,New,57.7,True
C000270,Affluent,Gauteng,18-24,1-2 Years,39.2,True
C000271,Mass,Limpopo,35-44,1-2 Years,22.7,True
C000272,Mass,Mpumalanga,35-44,1-2 Years,70.3,True
C000273,Middle Market,Limpopo,35-44,5+ Years,45.6,True
C000274,Mass,KwaZulu-Natal,25-34,New,62.5,True
C000275,Middle Market,North West,25-34,1-2 Years,49.0,True
C000276,Mass,Western Cape,45-54,3-5 Years,8.0,True
C000277,Mass,Western Cape,25-34,1-2 Years,53.9,True
C000278,Mass,Western Cape,18-24,1-2 Years,41.2,True
C000279,Middle Market,Gauteng,35-44,3-5 Years,48.3,True
C000280,Mass,KwaZulu-Natal,35-44,5+ Years,97.1,True
C000281,Mass,Western Cape,55-64,3-5 Years,66.6,True
C000282,Affluent,North West,18-24,3-5 Years,55.3,True
C000283,Mass,Gauteng,25-34,5+ Years,62.1,True
C000284,Mass,Gauteng,55-64,1-2 Years,86.5,True
C000285,Mass,Western Cape,45-54,1-2 Years,31.8,True
C000286,Mass,Gauteng,45-54,5+ Years,48.7,True
C000287,Mass,Northern Cape,18-24,3-5 Years,64.6,True
C000288,Middle Market,KwaZulu-Natal,35-44,New,8.0,True
C000289,Mass,Western Cape,65+,5+ Years,83.3,True
C000290,Affluent,KwaZulu-Natal,45-54,1-2 Years,50.8,True
C000291,Affluent,Western Cape,55-64,3-5 Years,9.2,True
C000292,Mass,Gauteng,35-44,1-2 Years,73.3,True
C000293,Mass,Western Cape,35-44,3-5 Years,34.6,True
C000294,Mass,Gauteng,25-34,1-2 Years,80.6,True
C000295,Middle Market,KwaZulu-Natal,45-54,New,62.2,True
C000296,Mass,Free State,35-44,1-2 Years,31.6,True
C000297,Affluent,Gauteng,25-34,1-2 Years,36.8,True
C000298,Middle Market,KwaZulu-Natal,45-54,3-5 Years,35.2,True
C000299,Affluent,Eastern Cape,65+,5+ Years,28.2,True
C000300,Middle Market,Western Cape,35-44,3-5 Years,39.8,True
C000301,SME Owner,Western Cape,25-34,5+ Years,59.4,True
C000302,Mass,Western Cape,45-54,1-2 Years,66.8,True
C000303,Mass,Western Cape,35-44,New,32.3,True
C000304,Mass,Western Cape,35-44,1-2 Years,51.2,True
C000305,SME Owner,Gauteng,65+,1-2 Years,35.8,True
C000306,Middle Market,Western Cape,35-44,1-2 Years,52.9,True
C000307,Affluent,Eastern Cape,25-34,1-2 Years,47.2,True
C000308,Mass,Western Cape,65+,5+ Years,39.3,True
C000309,SME Owner,North West,45-54,New,17.7,True
C000310,Middle Market,Gauteng,25-34,New,56.0,True
C000311,Middle Market,Western Cape,25-34,5+ Years,44.3,True
C000312,SME Owner,KwaZulu-Natal,35-44,3-5 Years,71.8,True
C000313,Mass,KwaZulu-Natal,35-44,1-2 Years,41.2,True
C000314,Mass,North West,45-54,New,33.2,True
C000315,Middle Market,Gauteng,25-34,1-2 Years,55.1,True
C000316,Mass,Western Cape,25-34,5+ Years,88.9,True
C000317,Mass,KwaZulu-Natal,25-34,5+ Years,60.3,True
C000318,Mass,KwaZulu-Natal,55-64,1-2 Years,51.6,True
C000319,Mass,Free State,25-34,5+ Years,53.2,True
C000320,Affluent,Free State,35-44,New,12.4,True
C000321,Middle Market,Gauteng,55-64,3-5 Years,32.9,True
C000322,Mass,Eastern Cape,25-34,5+ Years,47.3,True
C000323,Mass,Eastern Cape,55-64,1-2 Years,60.8,True
C000324,Middle Market,KwaZulu-Natal,45-54,3-5 Years,41.0,True
C000325,Middle Market,Gauteng,25-34,5+ Years,38.5,True
C000326,Affluent,Mpumalanga,65+,3-5 Years,19.3,True
C000327,Affluent,Eastern Cape,55-64,3-5 Years,7.0,True
C000328,Mass,Gauteng,18-24,New,18.7,True
C000329,Mass,Gauteng,55-64,New,44.8,True
C000330,Middle Market,Eastern Cape,35-44,1-2 Years,82.4,True
C000331,Middle Market,Mpumalanga,55-64,New,2.7,True
C000332,Middle Market,Western Cape,35-44,New,36.7,True
C000333,Middle Market,Limpopo,45-54,5+ Years,42.6,True
C000334,Middle Market,Western Cape,55-64,New,87.9,True
C000335,Mass,Western Cape,45-54,5+ Years,36.6,True
C000336,Mass,Eastern Cape,18-24,5+ Years,42.3,True
C000337,Mass,Gauteng,45-54,1-2 Years,51.4,True
C000338,Mass,Gauteng,55-64,1-2 Years,37.0,True
C000339,Mass,Eastern Cape,65+,3-5 Years,63.0,True
C000340,Middle Market,Gauteng,45-54,5+ Years,63.8,True
C000341,Mass,Gauteng,25-34,New,26.5,True
C000342,Mass,Gauteng,55-64,1-2 Years,54.4,True
C000343,Middle Market,Gauteng,18-24,3-5 Years,93.8,True
C000344,Middle Market,Gauteng,45-54,New,56.3,True
C000345,Mass,Western Cape,35-44,1-2 Years,59.2,True
C000346,Affluent,North West,55-64,New,96.4,True
C000347,Affluent,KwaZulu-Natal,35-44,5+ Years,46.4,True
C000348,Middle Market,Eastern Cape,35-44,1-2 Years,69.0,True
C000349,Middle Market,Gauteng,55-64,3-5 Years,65.2,True
C000350,Mass,Gauteng,25-34,3-5 Years,47.0,True
C000351,SME Owner,Mpumalanga,35-44,5+ Years,67.5,True
C000352,Mass,KwaZulu-Natal,55-64,New,53.3,True
C000353,Affluent,Free State,18-24,1-2 Years,65.5,True
C000354,Middle Market,Western Cape,25-34,5+ Years,35.6,True
C000355,Mass,KwaZulu-Natal,55-64,3-5 Years,58.2,True
C000356,Mass,Western Cape,55-64,5+ Years,57.7,True
C000357,Middle Market,Gauteng,25-34,1-2 Years,19.3,True
C000358,Middle Market,Limpopo,35-44,1-2 Years,84.9,True
C000359,Mass,Western Cape,25-34,5+ Years,93.9,True
C000360,Middle Market,Western Cape,65+,1-2 Years,66.2,True
C000361,Affluent,Gauteng,35-44,1-2 Years,14.5,True
C000362,Middle Market,KwaZulu-Natal,35-44,New,31.1,True
C000363,Middle Market,Free State,55-64,5+ Years,18.2,True
C000364,Mass,Western Cape,45-54,New,70.1,True
C000365,Middle Market,North West,45-54,New,41.8,True
C000366,Mass,Gauteng,45-54,1-2 Years,11.7,True
C000367,Affluent,Limpopo,35-44,5+ Years,40.2,True
C000368,Mass,Eastern Cape,25-34,3-5 Years,62.1,True
C000369,Middle Market,Mpumalanga,45-54,1-2 Years,34.2,True
C000370,Mass,Eastern Cape,35-44,5+ Years,71.9,True
C000371,Mass,Western Cape,35-44,1-2 Years,57.8,True
C000372,Middle Market,Western Cape,55-64,New,74.8,True
C000373,Middle Market,Limpopo,45-54,1-2 Years,46.0,True
C000374,Middle Market,Limpopo,45-54,3-5 Years,40.0,True
C000375,SME Owner,KwaZulu-Natal,45-54,5+ Years,58.9,True
C000376,SME Owner,Eastern Cape,35-44,3-5 Years,66.9,True
C000377,Affluent,Western Cape,35-44,3-5 Years,59.7,True
C000378,Mass,Gauteng,35-44,3-5 Years,89.6,True
C000379,Middle Market,Gauteng,25-34,New,20.4,True
C000380,Affluent,KwaZulu-Natal,45-54,5+ Years,38.1,True
C000381,Mass,KwaZulu-Natal,35-44,3-5 Years,50.0,True
C000382,Mass,KwaZulu-Natal,18-24,3-5 Years,46.6,True
C000383,Affluent,KwaZulu-Natal,65+,3-5 Years,86.2,True
C000384,Middle Market,Western Cape,35-44,New,37.3,True
C000385,Middle Market,Gauteng,25-34,3-5 Years,44.0,True
C000386,SME Owner,Gauteng,45-54,New,5.4,True
C000387,Middle Market,Gauteng,35-44,1-2 Years,32.5,True
C000388,Middle Market,KwaZulu-Natal,65+,5+ Years,40.8,True
C000389,Mass,Eastern Cape,18-24,New,68.8,True
C000390,Mass,Mpumalanga,55-64,1-2 Years,47.2,True
C000391,Mass,Gauteng,18-24,3-5 Years,68.7,True
C000392,Middle Market,Free State,25-34,3-5 Years,40.9,True
C000393,Affluent,KwaZulu-Natal,25-34,New,45.5,True
C000394,Mass,Gauteng,25-34,1-2 Years,64.2,True
C000395,Mass,Eastern Cape,55-64,New,63.2,True
C000396,Affluent,Northern Cape,25-34,3-5 Years,32.5,True
C000397,Mass,Western Cape,35-44,5+ Years,78.5,True
C000398,Middle Market,KwaZulu-Natal,35-44,3-5 Years,38.4,True
C000399,Middle Market,Gauteng,25-34,5+ Years,44.9,True
C000400,Middle Market,Gauteng,35-44,New,47.8,True
C000401,Mass,Gauteng,55-64,3-5 Years,72.8,True
C000402,Middle Market,Gauteng,45-54,New,39.6,True
C000403,Mass,Eastern Cape,35-44,1-2 Years,79.8,True
C000404,Middle Market,Gauteng,25-34,New,62.2,True
C000405,Mass,KwaZulu-Natal,35-44,New,70.3,True
C000406,Middle Market,Limpopo,25-34,1-2 Years,60.9,True
C000407,Middle Market,Limpopo,25-34,3-5 Years,43.9,True
C000408,Mass,Gauteng,18-24,1-2 Years,75.8,True
C000409,Mass,Gauteng,18-24,5+ Years,32.4,True
C000410,Mass,Western Cape,65+,3-5 Years,54.1,True
C000411,Mass,Gauteng,35-44,New,45.7,True
C000412,Mass,Western Cape,18-24,New,86.4,True
C000413,SME Owner,KwaZulu-Natal,35-44,5+ Years,62.1,True
C000414,Mass,KwaZulu-Natal,35-44,3-5 Years,85.4,True
C000415,Affluent,Gauteng,35-44,5+ Years,43.2,True
C000416,SME Owner,Gauteng,35-44,New,78.8,True
C000417,Mass,Limpopo,25-34,5+ Years,29.6,True
C000418,Middle Market,North West,45-54,3-5 Years,43.9,True
C000419,Affluent,KwaZulu-Natal,35-44,1-2 Years,41.2,True
C000420,Middle Market,KwaZulu-Natal,65+,1-2 Years,33.8,True
C000421,Middle Market,KwaZulu-Natal,35-44,3-5 Years,58.3,True
C000422,Middle Market,Gauteng,35-44,3-5 Years,74.9,True
C000423,Mass,Mpumalanga,35-44,New,66.9,True
C000424,Middle Market,Gauteng,35-44,5+ Years,16.3,True
C000425,SME Owner,KwaZulu-Natal,35-44,5+ Years,27.4,True
C000426,SME Owner,Gauteng,35-44,3-5 Years,81.6,True
C000427,Mass,Eastern Cape,65+,3-5 Years,29.2,True
C000428,Middle Market,Eastern Cape,35-44,5+ Years,59.9,True
C000429,Mass,Eastern Cape,25-34,1-2 Years,42.0,True
C000430,Affluent,Western Cape,35-44,3-5 Years,42.5,True
C000431,Mass,KwaZulu-Natal,18-24,1-2 Years,54.7,True
C000432,Affluent,KwaZulu-Natal,35-44,1-2 Years,17.0,True
C000433,Affluent,Eastern Cape,55-64,5+ Years,61.9,True
C000434,Mass,Western Cape,25-34,1-2 Years,60.5,True
C000435,Mass,Western Cape,25-34,3-5 Years,58.6,True
C000436,Affluent,Eastern Cape,18-24,1-2 Years,60.5,True
C000437,Mass,Gauteng,45-54,3-5 Years,75.4,True
C000438,Middle Market,KwaZulu-Natal,45-54,3-5 Years,82.0,True
C000439,Affluent,Gauteng,45-54,1-2 Years,20.2,True
